Date,Open,High,Low,Close,Adj Close,Volume
2022-08-04,14741.469727,14766.570313,14545.69043,14702.200195,14702.200195,2766400
2022-08-05,14802.339844,15041.410156,14802.339844,15036.040039,15036.040039,2749400
2022-08-08,14972.209961,15034.870117,14908.169922,15020.410156,15020.410156,2558700
2022-08-09,14965.120117,15077.629883,14905.230469,15050.280273,15050.280273,2854300
2022-08-10,14940.759766,14982.330078,14890.549805,14939.019531,14939.019531,2863700
2022-08-11,15087.589844,15204.790039,15087.589844,15197.849609,15197.849609,3417400
2022-08-12,15203.910156,15298.419922,15198.929688,15288.969727,15288.969727,2921300
2022-08-15,15332.919922,15437.230469,15315.120117,15417.349609,15417.349609,3136600
2022-08-16,15435.040039,15451.830078,15392.490234,15420.570313,15420.570313,3045100
2022-08-17,15423.44043,15475.889648,15390.839844,15465.450195,15465.450195,3108600
2022-08-18,15384.730469,15396.759766,15311.219727,15396.759766,15396.759766,2635800
2022-08-19,15394.360352,15458.450195,15346.259766,15408.780273,15408.780273,3252400
2022-08-22,15375.200195,15375.200195,15229.360352,15245.139648,15245.139648,2782000
2022-08-23,15225.169922,15225.169922,15086.429688,15095.889648,15095.889648,2405400
2022-08-24,15112.150391,15183.959961,15053.519531,15069.19043,15069.19043,2665500
2022-08-25,15105.30957,15244.05957,15105.30957,15200.040039,15200.040039,2502900
2022-08-26,15221.5,15337.25,15221.5,15278.44043,15278.44043,3192200
2022-08-29,15197.19043,15197.19043,14843.719727,14926.19043,14926.19043,2973800
2022-08-30,14919.669922,15027.5,14911.969727,14953.629883,14953.629883,2729600
2022-08-31,14912.120117,15095.44043,14874.330078,15095.44043,15095.44043,3006200
2022-09-01,14981,14981,14773.19043,14801.860352,14801.860352,3009700
2022-09-02,14790.280273,14817.400391,14673.040039,14673.040039,14673.040039,3003400
2022-09-05,14670.179688,14753.030273,14632.790039,14661.099609,14661.099609,2643200
2022-09-06,14705.160156,14789.30957,14623.219727,14677.200195,14677.200195,2642400
2022-09-07,14557.860352,14557.860352,14397.120117,14410.049805,14410.049805,2439500
2022-09-08,14447.089844,14583.419922,14447.089844,14583.419922,14583.419922,2349200
2022-09-12,14711.339844,14856.230469,14711.339844,14807.429688,14807.429688,2620300
2022-09-13,14895.870117,14949.55957,14856.980469,14894.410156,14894.410156,2535400
2022-09-14,14695.19043,14699.780273,14522.700195,14658.30957,14658.30957,2515900
2022-09-15,14647,14750.280273,14624.549805,14670.040039,14670.040039,2703700
2022-09-16,14602.160156,14602.160156,14521.650391,14561.759766,14561.759766,3637300
2022-09-19,14567.269531,14585.05957,14424.330078,14425.679688,14425.679688,2314800
2022-09-20,14474.950195,14558.719727,14461.389648,14549.299805,14549.299805,2436500
2022-09-21,14517.339844,14525.459961,14384.110352,14424.519531,14424.519531,2716200
2022-09-22,14325.669922,14325.669922,14151.799805,14284.629883,14284.629883,3106100
2022-09-23,14231.030273,14277.530273,14109.709961,14118.379883,14118.379883,2584800
2022-09-26,13993.419922,13993.419922,13743.19043,13778.19043,13778.19043,3149000
2022-09-27,13812.990234,13862.839844,13732.320313,13826.589844,13826.589844,2722800
2022-09-28,13816.700195,13854.089844,13466.070313,13466.070313,13466.070313,3481100
2022-09-29,13550.700195,13651.290039,13462.570313,13534.259766,13534.259766,2992600
2022-09-30,13409.650391,13466.820313,13274.719727,13424.580078,13424.580078,2822000
2022-10-03,13359.259766,13440.230469,13273.480469,13300.480469,13300.480469,2183300
2022-10-04,13447.360352,13586.959961,13447.360352,13576.519531,13576.519531,2392400
2022-10-05,13727.299805,13902.019531,13727.299805,13801.429688,13801.429688,2785100
2022-10-06,13865.450195,13899.230469,13814.330078,13892.049805,13892.049805,2151900
2022-10-07,13847.519531,13847.519531,13684.209961,13702.280273,13702.280273,1873700
2022-10-11,13394.120117,13394.120117,13106.030273,13106.030273,13106.030273,2847100
2022-10-12,13076.910156,13130.730469,12991.589844,13081.240234,13081.240234,2438200
2022-10-13,13108.400391,13111.389648,12809.429688,12810.730469,12810.730469,3440400
2022-10-14,13023.709961,13221.870117,13023.709961,13128.120117,13128.120117,2967500
2022-10-17,12988.830078,12988.830078,12814.820313,12966.049805,12966.049805,3036700
2022-10-18,13075.049805,13143.150391,12978.129883,13124.679688,13124.679688,2610300
2022-10-19,13096.349609,13155.620117,12976.759766,12976.759766,12976.759766,2470600
2022-10-20,12912.929688,12946.099609,12698.910156,12946.099609,12946.099609,3533700
2022-10-21,12931.200195,12954.019531,12813.599609,12819.200195,12819.200195,2220400
2022-10-24,12913.580078,13027.839844,12856.769531,12856.980469,12856.980469,2281500
2022-10-25,12830.290039,12843.30957,12629.480469,12666.120117,12666.120117,2289400
2022-10-26,12666.419922,12791.969727,12635.519531,12729.049805,12729.049805,2218400
2022-10-27,12807.69043,12954.320313,12807.69043,12926.370117,12926.370117,2373300
2022-10-28,12874.830078,12891.379883,12723.980469,12788.419922,12788.419922,2112200
2022-10-31,12862.370117,12977.610352,12826.339844,12949.75,12949.75,2003500
2022-11-01,12933.120117,13062.900391,12907.610352,13037.209961,13037.209961,2030700
2022-11-02,13033.150391,13100.169922,13014.040039,13100.169922,13100.169922,2032900
2022-11-03,12985.549805,12991.370117,12905.349609,12986.599609,12986.599609,2009100
2022-11-04,12941.780273,13029.94043,12868.25,13026.709961,13026.709961,2354400
2022-11-07,13109.349609,13246.589844,13103.349609,13223.730469,13223.730469,2750000
2022-11-08,13274.910156,13389.25,13274.910156,13347.759766,13347.759766,3009500
2022-11-09,13410.19043,13638.80957,13410.19043,13638.80957,13638.80957,2981300
2022-11-10,13556.509766,13559.400391,13463.849609,13503.759766,13503.759766,2335900
2022-11-11,13878.950195,14045.509766,13878.950195,14007.55957,14007.55957,3988800
2022-11-14,14080.910156,14217.299805,14076.94043,14174.900391,14174.900391,3396800
2022-11-15,14325.490234,14568.509766,14278.530273,14546.30957,14546.30957,3441500
2022-11-16,14637.849609,14657.660156,14481.05957,14537.349609,14537.349609,3356100
2022-11-17,14489.410156,14545.889648,14383.549805,14535.230469,14535.230469,2707100
2022-11-18,14584.30957,14669.980469,14470.480469,14504.990234,14504.990234,2787500
2022-11-21,14514.709961,14530.759766,14421.650391,14449.389648,14449.389648,2186300
2022-11-22,14404.080078,14542.790039,14371.089844,14542.200195,14542.200195,2281400
2022-11-23,14595.5,14647.980469,14573.410156,14608.540039,14608.540039,2345700
2022-11-24,14649.799805,14784,14649.799805,14784,14784,2615600
2022-11-25,14764.94043,14835.660156,14756.009766,14778.509766,14778.509766,2808900
2022-11-28,14636.900391,14638.19043,14503.120117,14556.870117,14556.870117,2567800
2022-11-29,14503.790039,14716.580078,14449.049805,14709.639648,14709.639648,3143000
2022-11-30,14678.230469,14879.549805,14678.230469,14879.549805,14879.549805,4457700
2022-12-01,15059.919922,15152.379883,14998.030273,15012.799805,15012.799805,3771700
2022-12-02,14933.200195,15021.730469,14921.05957,14970.679688,14970.679688,2999500
2022-12-05,14972.169922,15088.05957,14969.969727,14980.740234,14980.740234,3216700
2022-12-06,14955.290039,14957.820313,14728.879883,14728.879883,14728.879883,3221700
2022-12-07,14708.080078,14823.150391,14630.009766,14630.009766,14630.009766,3266900
2022-12-08,14631.209961,14634.160156,14464.200195,14553.040039,14553.040039,2428500
2022-12-09,14620.269531,14742.790039,14620.269531,14705.429688,14705.429688,2543200
2022-12-12,14658.459961,14658.459961,14538.660156,14612.589844,14612.589844,2221600
2022-12-13,14617.860352,14658.700195,14515.740234,14522.959961,14522.959961,2730600
2022-12-14,14557.55957,14739.360352,14557.55957,14739.360352,14739.360352,2640200
2022-12-15,14692.919922,14756.379883,14649.540039,14734.129883,14734.129883,2570800
2022-12-16,14554.209961,14568.30957,14447.769531,14528.549805,14528.549805,4451200
2022-12-19,14478.450195,14493.719727,14411.80957,14433.320313,14433.320313,3207500
2022-12-20,14410.75,14451.910156,14157.990234,14170.030273,14170.030273,3679200
